DATEV,UIUSG,UEUSG,IFSPEED
4/19/2016 0:00,3.32,40.83,150
4/19/2016 0:15,2.48,39.13,150
4/19/2016 0:30,2.38,33.35,150
4/19/2016 0:45,1.94,28.19,150
4/19/2016 1:00,1.3,21.64,150
4/19/2016 1:15,1.75,20.97,150
4/19/2016 1:30,1.93,18.8,150
4/19/2016 1:45,1.69,14.21,150
4/19/2016 2:00,1.3,14.29,150
4/19/2016 2:15,1.26,12.42,150
4/19/2016 2:30,1.36,12.76,150
4/19/2016 2:45,1.56,13.9,150
4/19/2016 3:00,1.6,13.43,150
4/19/2016 3:15,1.9,13.84,150
4/19/2016 3:30,1.53,15.6,150
4/19/2016 3:45,1.33,13.26,150
4/19/2016 4:00,1.4,12.13,150
4/19/2016 4:15,1.67,14.39,150
4/19/2016 4:30,1.42,15.07,150
4/19/2016 4:45,1.38,13.88,150
4/19/2016 5:00,1.09,14.27,150
4/19/2016 5:15,1.19,12.12,150
4/19/2016 5:30,1.49,13.2,150
4/19/2016 5:45,1.73,15.39,150
4/19/2016 6:00,1.93,15.37,150
4/19/2016 6:15,2.07,10.97,150
4/19/2016 6:30,1.7,13.88,150
4/19/2016 6:45,1.69,16.32,150
4/19/2016 7:00,2.65,25.75,150
4/19/2016 7:15,3.14,28.79,150
4/19/2016 7:30,2.96,25.67,150
4/19/2016 7:45,2.92,26.43,150
4/19/2016 8:00,3.1,28.74,150
4/19/2016 8:15,1.91,24.61,150
4/19/2016 8:30,1.92,34.41,150
4/19/2016 8:45,2.22,34.75,150
4/19/2016 9:00,2.04,32.54,150
4/19/2016 9:15,2.76,34.68,150
4/19/2016 9:30,3.14,38.28,150
4/19/2016 9:45,3.14,38.95,150
4/19/2016 10:00,2.99,38.81,150
4/19/2016 10:15,2.49,31,150
4/19/2016 10:30,2.52,29.96,150
4/19/2016 10:45,3.05,32.56,150
4/19/2016 11:00,3.16,31.6,150
4/19/2016 11:15,2.59,30.88,150
4/19/2016 11:30,2.47,32.75,150
4/19/2016 11:45,2.21,28.33,150
4/19/2016 12:00,2.21,28.7,150
4/19/2016 12:15,2.88,35.97,150
4/19/2016 12:30,3.33,37.88,150
4/19/2016 12:45,3.38,40.06,150
4/19/2016 13:00,3.28,38.27,150
4/19/2016 13:15,3.44,47.11,150
4/19/2016 13:30,3.15,39.02,150
4/19/2016 13:45,3.56,29.86,150
4/19/2016 14:00,3.87,31.65,150
4/19/2016 14:15,3.49,37.79,150
4/19/2016 14:30,3.36,39.2,150
4/19/2016 14:45,3.33,41.59,150
4/19/2016 15:00,3.27,40.37,150
4/19/2016 15:15,3.33,43.37,150
4/19/2016 15:30,3.89,49.54,150
4/19/2016 15:45,4.51,58.1,150
4/19/2016 16:00,5.37,67.7,150
4/19/2016 16:15,5.55,76.38,150
4/19/2016 16:30,5.87,72.2,150
4/19/2016 16:45,4.94,59.48,150
4/19/2016 17:00,5.71,58.62,150
4/19/2016 17:15,5.98,65.64,150
4/19/2016 17:30,5.51,57.06,150
4/19/2016 17:45,5.43,60.39,150
4/19/2016 18:00,5.15,60.69,150
4/19/2016 18:15,5.24,57.42,150
4/19/2016 18:30,5.9,64.75,150
4/19/2016 18:45,5.69,63.2,150
4/19/2016 19:00,5.02,60.11,150
4/19/2016 19:15,4.67,63.26,150
4/19/2016 19:30,4.98,70.12,150
4/19/2016 19:45,5.17,75.52,150
4/19/2016 20:00,5.71,73.6,150
4/19/2016 20:15,5.86,75.69,150
4/19/2016 20:30,6.66,73.08,150
4/19/2016 20:45,5.32,57.19,150
4/19/2016 21:00,6.44,61.9,150
4/19/2016 21:15,5.03,53.29,150
4/19/2016 21:30,5.33,63.24,150
4/19/2016 21:45,5.48,63.47,150
4/19/2016 22:00,4.99,61.85,150
4/19/2016 22:15,6.04,52.07,150
4/19/2016 22:30,7.1,56.09,150
4/19/2016 22:45,7.59,55.33,150
4/19/2016 23:00,7.09,61.33,150
4/19/2016 23:15,6.28,58.92,150
4/19/2016 23:30,5.9,57.8,150
4/19/2016 23:45,4.97,51.34,150
4/20/2016 0:00,4.97,53.67,150
4/20/2016 0:15,4.94,49.62,150
4/20/2016 0:30,4.21,45.32,150
4/20/2016 0:45,3.33,40.28,150
4/20/2016 1:00,2.91,28.12,150
4/20/2016 1:15,2.42,27.49,150
4/20/2016 1:30,2.67,21.27,150
4/20/2016 1:45,2.64,18.24,150
4/20/2016 2:00,2.02,15.99,150
4/20/2016 2:15,1.85,21.37,150
4/20/2016 2:30,1.82,20.99,150
4/20/2016 2:45,1.62,16.63,150
4/20/2016 3:00,1.85,15.02,150
4/20/2016 3:15,2.23,21.08,150
4/20/2016 3:30,1.83,20.27,150
4/20/2016 3:45,1.76,21.38,150
4/20/2016 4:00,1.98,21.77,150
4/20/2016 4:15,1.99,21.83,150
4/20/2016 4:30,1.63,19.24,150
4/20/2016 4:45,1.97,22.39,150
4/20/2016 5:00,1.77,18.51,150
4/20/2016 5:15,1.75,13.99,150
4/20/2016 5:30,1.74,14.96,150
4/20/2016 5:45,1.92,16.26,150
4/20/2016 6:00,1.69,13.85,150
4/20/2016 6:15,2.15,19.14,150
4/20/2016 6:30,1.81,14.44,150
4/20/2016 6:45,2.58,20.01,150
4/20/2016 7:00,2.78,25.7,150
4/20/2016 7:15,1.99,27.53,150
4/20/2016 7:30,2.25,27.21,150
4/20/2016 7:45,1.55,18.92,150
4/20/2016 8:00,1.62,18.65,150
4/20/2016 8:15,1.77,15.92,150
4/20/2016 8:30,1.47,21.93,150
4/20/2016 8:45,1.54,20.86,150
4/20/2016 9:00,1.93,20.97,150
4/20/2016 9:15,2.42,23.17,150
4/20/2016 9:30,1.75,20.8,150
4/20/2016 9:45,1.52,16.9,150
4/20/2016 10:00,1.55,18.21,150
4/20/2016 10:15,1.43,17.11,150
4/20/2016 10:30,1.73,20.36,150
4/20/2016 10:45,1.82,23.44,150
4/20/2016 11:00,1.89,25.02,150
4/20/2016 11:15,2.82,26.73,150
4/20/2016 11:30,2.85,36.39,150
4/20/2016 11:45,3.88,39.17,150
4/20/2016 12:00,2.64,34.56,150
4/20/2016 12:15,2.77,31.25,150
4/20/2016 12:30,3.09,37.77,150
4/20/2016 12:45,2.39,36.72,150
4/20/2016 13:00,2.65,37.7,150
4/20/2016 13:15,2.2,38.55,150
4/20/2016 13:30,2.45,34.6,150
4/20/2016 13:45,2.51,40.91,150
4/20/2016 14:00,3.28,43.24,150
4/20/2016 14:15,2.82,44.45,150
4/20/2016 14:30,2.56,38.87,150
4/20/2016 14:45,2.57,35.68,150
4/20/2016 15:00,2.39,32.77,150
4/20/2016 15:15,2.59,29.02,150
4/20/2016 15:30,2.94,26.99,150
4/20/2016 15:45,3.18,34.96,150
4/20/2016 16:00,4.03,54.89,150
4/20/2016 16:15,4.09,63.1,150
4/20/2016 16:30,3.81,60.12,150
4/20/2016 16:45,4.74,61.93,150
4/20/2016 17:00,4.23,57.21,150
4/20/2016 17:15,4.74,61.16,150
4/20/2016 17:30,5.09,62.34,150
4/20/2016 17:45,5.64,62.88,150
4/20/2016 18:00,5.03,56.15,150
4/20/2016 18:15,3.9,52.41,150
4/20/2016 18:30,3.45,48.06,150
4/20/2016 18:45,4.16,50.93,150
4/20/2016 19:00,4.14,54.2,150
4/20/2016 19:15,4.49,55.03,150
4/20/2016 19:30,4.77,56.37,150
4/20/2016 19:45,5.12,56.39,150
4/20/2016 20:00,5.37,65.06,150
4/20/2016 20:15,7.23,74.08,150
4/20/2016 20:30,6.14,79.71,150
4/20/2016 20:45,5.95,82.34,150
4/20/2016 21:00,6.25,85.33,150
4/20/2016 21:15,6.63,80.18,150
4/20/2016 21:30,5.46,76.96,150
4/20/2016 21:45,5.52,72.3,150
4/20/2016 22:00,5.5,69.56,150
4/20/2016 22:15,5.17,68.08,150
4/20/2016 22:30,4.87,53.17,150
4/20/2016 22:45,5.4,51.22,150
4/20/2016 23:00,6.56,51.26,150
4/20/2016 23:15,5.42,42.35,150
4/20/2016 23:30,5.16,38.94,150
4/20/2016 23:45,5.4,46.58,150
